nohup: ignoring input
2025-02-21 17:12:59,727 - INFO - Dataset carregado com 2976 amostras.
2025-02-21 17:12:59,728 - INFO - Super Fold: 2529, Teste: 447
2025-02-21 17:13:10,208 - INFO - Modelo carregado a partir de: /home/thalles.fontainha/3dCnnOtimizada/best_model_fold_2.pth
2025-02-21 17:13:10,208 - INFO - Iniciando treinamento no Super Fold com Early Stopping...
2025-02-22 05:54:33,664 - INFO - Época 133 | Loss: 0.0001 | Acurácia: 83.22% | AUC: 0.9015 | F1: 0.8031
2025-02-22 06:00:17,619 - INFO - Época 134 | Loss: 0.0000 | Acurácia: 83.00% | AUC: 0.9008 | F1: 0.8031
2025-02-22 06:06:00,214 - INFO - Época 135 | Loss: 0.0001 | Acurácia: 83.00% | AUC: 0.9004 | F1: 0.7989
2025-02-22 06:11:43,077 - INFO - Época 136 | Loss: 0.0001 | Acurácia: 83.89% | AUC: 0.8988 | F1: 0.8075
2025-02-22 06:17:29,172 - INFO - Época 137 | Loss: 0.0000 | Acurácia: 83.22% | AUC: 0.8995 | F1: 0.8011
2025-02-22 06:23:12,767 - INFO - Época 138 | Loss: 0.2437 | Acurácia: 62.42% | AUC: 0.9028 | F1: 0.6842
2025-02-22 06:28:54,194 - INFO - Época 139 | Loss: 0.0760 | Acurácia: 81.66% | AUC: 0.9048 | F1: 0.7865
2025-02-22 06:34:36,114 - INFO - Época 140 | Loss: 0.0154 | Acurácia: 76.29% | AUC: 0.8951 | F1: 0.7569
2025-02-22 06:40:17,881 - INFO - Época 141 | Loss: 0.0042 | Acurácia: 83.45% | AUC: 0.9008 | F1: 0.8083
2025-02-22 06:46:07,938 - INFO - Época 142 | Loss: 0.0234 | Acurácia: 79.64% | AUC: 0.9050 | F1: 0.7797
2025-02-22 06:51:57,954 - INFO - Época 143 | Loss: 0.0026 | Acurácia: 82.10% | AUC: 0.9046 | F1: 0.7938
2025-02-22 06:57:43,573 - INFO - Época 144 | Loss: 0.0008 | Acurácia: 83.22% | AUC: 0.9039 | F1: 0.8000
2025-02-22 07:03:30,130 - INFO - Época 145 | Loss: 0.0006 | Acurácia: 82.55% | AUC: 0.9042 | F1: 0.7969
2025-02-22 07:09:18,229 - INFO - Época 146 | Loss: 0.0004 | Acurácia: 82.77% | AUC: 0.9037 | F1: 0.7990
2025-02-22 07:15:04,199 - INFO - Época 147 | Loss: 0.0003 | Acurácia: 83.00% | AUC: 0.9040 | F1: 0.8010
2025-02-22 07:20:52,564 - INFO - Época 148 | Loss: 0.0002 | Acurácia: 83.00% | AUC: 0.9044 | F1: 0.8000
2025-02-22 07:26:34,700 - INFO - Época 149 | Loss: 0.0002 | Acurácia: 84.79% | AUC: 0.9034 | F1: 0.8101
2025-02-22 07:32:20,265 - INFO - Época 150 | Loss: 0.0001 | Acurácia: 82.77% | AUC: 0.9029 | F1: 0.7968
2025-02-22 07:38:04,724 - INFO - Época 151 | Loss: 0.0001 | Acurácia: 82.10% | AUC: 0.9031 | F1: 0.7927
2025-02-22 07:43:53,228 - INFO - Época 152 | Loss: 0.0001 | Acurácia: 82.77% | AUC: 0.9040 | F1: 0.7968
2025-02-22 07:49:42,957 - INFO - Época 153 | Loss: 0.0000 | Acurácia: 83.22% | AUC: 0.9038 | F1: 0.8011
2025-02-22 07:55:29,351 - INFO - Época 154 | Loss: 0.0000 | Acurácia: 83.67% | AUC: 0.9040 | F1: 0.8053
2025-02-22 08:01:16,317 - INFO - Época 155 | Loss: 0.0000 | Acurácia: 83.67% | AUC: 0.9039 | F1: 0.8053
2025-02-22 08:07:03,110 - INFO - Época 156 | Loss: 0.0000 | Acurácia: 83.22% | AUC: 0.9040 | F1: 0.8042
2025-02-22 08:12:52,006 - INFO - Época 157 | Loss: 0.0000 | Acurácia: 83.45% | AUC: 0.9038 | F1: 0.8032
2025-02-22 08:12:52,006 - INFO - Early stopping na época 157
2025-02-22 08:12:52,007 - INFO - Treinamento concluído! Resultados salvos em /home/thalles.fontainha/3dCnnOtimizada/final_results_20250221_171259.json
