nohup: ignoring input
Número de GPUs detectadas: 2
GPU 1: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória
GPU 2: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória

Fold 1/5
Fold 3 | Época 15/1000 | Treino: 0.0414 | Val: 0.0845 | Acurácia: 63.03% | AUC: 0.8851 | F1: 0.7128
Fold 3 | Época 16/1000 | Treino: 0.0443 | Val: 0.0860 | Acurácia: 82.02% | AUC: 0.8999 | F1: 0.7938
Fold 3 | Época 17/1000 | Treino: 0.0393 | Val: 0.0570 | Acurácia: 80.00% | AUC: 0.8966 | F1: 0.8059
Fold 3 | Época 18/1000 | Treino: 0.0378 | Val: 0.0556 | Acurácia: 77.82% | AUC: 0.8947 | F1: 0.7937
Fold 3 | Época 19/1000 | Treino: 0.0365 | Val: 0.0775 | Acurácia: 81.68% | AUC: 0.8942 | F1: 0.7947
Fold 3 | Época 20/1000 | Treino: 0.0341 | Val: 0.0852 | Acurácia: 80.34% | AUC: 0.8933 | F1: 0.7805
Fold 3 | Época 21/1000 | Treino: 0.0371 | Val: 0.0844 | Acurácia: 81.18% | AUC: 0.8942 | F1: 0.7903
Fold 3 | Época 22/1000 | Treino: 0.0301 | Val: 0.0888 | Acurácia: 80.67% | AUC: 0.8838 | F1: 0.7874
Fold 3 | Época 23/1000 | Treino: 0.0308 | Val: 0.0537 | Acurácia: 79.50% | AUC: 0.9081 | F1: 0.8019
Fold 3 | Época 24/1000 | Treino: 0.0302 | Val: 0.0661 | Acurácia: 80.84% | AUC: 0.8905 | F1: 0.8041
Fold 3 | Época 25/1000 | Treino: 0.0266 | Val: 0.0817 | Acurácia: 80.50% | AUC: 0.8910 | F1: 0.7906
Fold 3 | Época 26/1000 | Treino: 0.0274 | Val: 0.0599 | Acurácia: 81.85% | AUC: 0.9064 | F1: 0.8151
Fold 3 | Época 27/1000 | Treino: 0.0276 | Val: 0.0796 | Acurácia: 68.74% | AUC: 0.8957 | F1: 0.7438
Fold 3 | Época 28/1000 | Treino: 0.0266 | Val: 0.0691 | Acurácia: 81.68% | AUC: 0.8994 | F1: 0.8192
Fold 3 | Época 29/1000 | Treino: 0.0264 | Val: 0.0676 | Acurácia: 81.34% | AUC: 0.8996 | F1: 0.8134
Fold 3 | Época 30/1000 | Treino: 0.0264 | Val: 0.0700 | Acurácia: 78.49% | AUC: 0.8952 | F1: 0.7915
Fold 3 | Época 31/1000 | Treino: 0.0230 | Val: 0.0965 | Acurácia: 80.17% | AUC: 0.8788 | F1: 0.7815
Fold 3 | Época 32/1000 | Treino: 0.0248 | Val: 0.0643 | Acurácia: 78.99% | AUC: 0.9005 | F1: 0.7934
Fold 3 | Época 33/1000 | Treino: 0.0195 | Val: 0.0605 | Acurácia: 76.30% | AUC: 0.8975 | F1: 0.7827
Fold 3 | Época 34/1000 | Treino: 0.0197 | Val: 0.0912 | Acurácia: 79.16% | AUC: 0.8813 | F1: 0.7704
Fold 3 | Época 35/1000 | Treino: 0.0225 | Val: 0.0967 | Acurácia: 65.88% | AUC: 0.8403 | F1: 0.7297
Fold 3 | Época 36/1000 | Treino: 0.0196 | Val: 0.0750 | Acurácia: 81.18% | AUC: 0.9020 | F1: 0.8089
Fold 3 | Época 37/1000 | Treino: 0.0203 | Val: 0.0717 | Acurácia: 77.98% | AUC: 0.8864 | F1: 0.7842
Fold 3 | Época 38/1000 | Treino: 0.0166 | Val: 0.1069 | Acurácia: 68.57% | AUC: 0.8748 | F1: 0.7414
Fold 3 | Época 39/1000 | Treino: 0.0167 | Val: 0.0870 | Acurácia: 76.97% | AUC: 0.8856 | F1: 0.7736
Fold 3 | Época 40/1000 | Treino: 0.0211 | Val: 0.0858 | Acurácia: 79.83% | AUC: 0.8858 | F1: 0.7842
Fold 3 | Época 41/1000 | Treino: 0.0179 | Val: 0.1538 | Acurácia: 76.97% | AUC: 0.8860 | F1: 0.7066
Fold 3 | Época 42/1000 | Treino: 0.0172 | Val: 0.0776 | Acurácia: 80.67% | AUC: 0.8944 | F1: 0.8014
Fold 3 | Época 43/1000 | Treino: 0.0150 | Val: 0.0744 | Acurácia: 76.97% | AUC: 0.8890 | F1: 0.7794
Fold 3 | Época 44/1000 | Treino: 0.0150 | Val: 0.0790 | Acurácia: 80.50% | AUC: 0.8929 | F1: 0.8047
Fold 3 | Época 45/1000 | Treino: 0.0144 | Val: 0.0838 | Acurácia: 79.16% | AUC: 0.8811 | F1: 0.7855
Fold 3 | Época 46/1000 | Treino: 0.0165 | Val: 0.0906 | Acurácia: 78.15% | AUC: 0.8806 | F1: 0.7789
Fold 3 | Época 47/1000 | Treino: 0.0126 | Val: 0.0971 | Acurácia: 80.67% | AUC: 0.8850 | F1: 0.7972
Fold 3 | Época 48/1000 | Treino: 0.0141 | Val: 0.0710 | Acurácia: 81.34% | AUC: 0.8968 | F1: 0.8165
